index,family,point,pbe_indirect_gap,pbe_direct_gap_gamma,pbe_vbm,pbe_cbm,pbe_vbm_kpoint,pbe_cbm_kpoint,pbe_valence_splitting_low,pbe_valence_splitting_high,pbe_valence_splitting_total,pbe_partially_occupied,pbe_complete_to,pbe_occupied_bandwidth,pbe_delta_z,pbe_delta_x,pbe_delta_y,hse_indirect_gap,hse_direct_gap_gamma,hse_vbm,hse_cbm,hse_vbm_kpoint,hse_cbm_kpoint,hse_valence_splitting_low,hse_valence_splitting_high,hse_valence_splitting_total,hse_partially_occupied,hse_complete_to,hse_occupied_bandwidth,hse_delta_z,hse_delta_x,hse_delta_y,strain_norm,max_abs_voigt,volume,wide_bands,e1,e2,e3,e4,e5,e6
0,1-scale-all-axes-uniformly,cell-volume-10.05-cubic-angstroms,4.518333000000002,5.924620000000001,11.563457,16.08179,0,21,0.0,9.999999992515995e-07,9.999999992515995e-07,0,13.559322000000002,23.175675,4.518333000000002,4.518333000000002,4.518333000000002,5.810236,7.481376000000001,10.860758,16.670994,0,21,0.0,1.0000000010279564e-06,1.0000000010279564e-06,0,15.380475999999998,25.493866,5.810236,5.810236,5.810236,0.06727985968330465,0.038844045112477465,10.05,False,-0.038844045112477465,-0.03884404509255551,-0.03884404509255557,-8.768381287514486e-13,-9.049689413378308e-12,9.049689413378308e-12
1,1-scale-all-axes-uniformly,cell-volume-10.10-cubic-angstroms,4.507658000000001,5.910793999999999,11.485055,15.992713,0,21,0.0,9.999999992515995e-07,9.999999992515995e-07,0,13.513395,23.10355,4.507658000000001,4.507658000000001,4.507658000000001,5.798199999999998,7.466082,10.783041,16.581241,0,21,0.0,1.0000000010279564e-06,1.0000000010279564e-06,0,15.334101999999998,25.417679,5.798199999999998,5.798199999999998,5.798199999999998,0.0646328126033576,0.03731577176835649,10.1,False,-0.03731577176835649,-0.037315771748368476,-0.037315771748368476,-8.797159204268232e-13,-9.07982318030823e-12,9.07987869145946e-12
2,1-scale-all-axes-uniformly,cell-volume-10.15-cubic-angstroms,4.496961000000001,5.8970959999999994,11.407357,15.904318,0,21,9.999999992515995e-07,0.0,9.999999992515995e-07,0,13.467557000000001,23.031713,4.496961000000001,4.496961000000001,4.496961000000001,5.786049000000002,7.450877000000002,10.706145,16.492194,0,21,0.0,1.999999998503199e-06,1.999999998503199e-06,0,15.287771,25.341988999999998,5.786049000000002,5.786049000000002,5.786049000000002,0.06199013000664795,0.03579001825980738,10.150000000000004,False,-0.03579001825980738,-0.035790018239753474,-0.03579001823975342,-8.826261196583128e-13,-9.10971179903811e-12,9.10971179903811e-12
3,1-scale-all-axes-uniformly,cell-volume-10.20-cubic-angstroms,4.486407,5.883474000000001,11.330294,15.816701,0,21,0.0,1.0000000010279564e-06,1.0000000010279564e-06,0,13.421787,22.960453,4.486407,4.486407,4.486407,5.774041,7.435749999999999,10.62987,16.403911,0,21,0.0,1.0000000010279564e-06,1.0000000010279564e-06,0,15.241564,25.266901,5.774041,5.774041,5.774041,0.05935178324991023,0.03426676804963319,10.200000000000003,False,-0.03426676804963319,-0.034266768029513395,-0.034266768029513395,-8.853662450506217e-13,-9.139541366231273e-12,9.139485855080042e-12
4,1-scale-all-axes-uniformly,cell-volume-10.25-cubic-angstroms,4.4758960000000005,5.869914999999999,11.253923,15.729819,0,21,0.0,1.0000000010279564e-06,1.0000000010279564e-06,0,13.376048999999998,22.889803999999998,4.4758960000000005,4.4758960000000005,4.4758960000000005,5.762096,7.4206959999999995,10.554288,16.316384,0,21,0.0,2.000000000279556e-06,2.000000000279556e-06,0,15.195452,25.192453,5.762096,5.762096,5.762096,0.056717744017234006,0.03274600478963524,10.25,False,-0.03274600478963524,-0.03274600476944989,-0.03274600476944989,-8.885736468229626e-13,-9.169449631745849e-12,9.16950514289708e-12
5,1-scale-all-axes-uniformly,cell-volume-10.30-cubic-angstroms,4.465472999999999,5.856431000000001,11.178165,15.643638,0,21,0.0,9.999999992515995e-07,9.999999992515995e-07,0,13.33035,22.819713999999998,4.465472999999999,4.465472999999999,4.465472999999999,5.750248000000001,7.405723,10.47932,16.229568,0,21,0.0,9.999999992515995e-07,9.999999992515995e-07,0,15.149435000000002,25.118613,5.750248000000001,5.750248000000001,5.750248000000001,0.054087984314745145,0.03122771231754301,10.300000000000002,False,-0.03122771231754301,-0.031227712297292043,-0.031227712297292043,-8.913115792309874e-13,-9.199165983652264e-12,9.199165983652264e-12
6,1-scale-all-axes-uniformly,cell-volume-10.35-cubic-angstroms,4.455105,5.843010999999999,11.103063,15.558168,0,21,0.0,1.0000000010279564e-06,1.0000000010279564e-06,0,13.284704,22.750210000000003,4.455105,4.455105,4.455105,5.7384710000000005,7.3908200000000015,10.405009,16.14348,0,21,0.0,9.999999992515995e-07,9.999999992515995e-07,0,15.103523,25.04538,5.7384710000000005,5.7384710000000005,5.7384710000000005,0.05146247646539948,0.029711874654007486,10.350000000000003,False,-0.029711874654007486,-0.029711874633691016,-0.029711874633691016,-8.941807128200341e-13,-9.228791492134778e-12,9.228791492134778e-12
7,1-scale-all-axes-uniformly,cell-volume-10.40-cubic-angstroms,4.444808,5.8296610000000015,11.028582,15.47339,0,21,0.0,9.999999992515995e-07,9.999999992515995e-07,0,13.239132000000001,22.681266,4.444808,4.444808,4.444808,5.726759000000001,7.375990000000002,10.331318,16.058077,0,21,0.0,9.999999992515995e-07,9.999999992515995e-07,0,15.057704000000001,24.972727,5.726759000000001,5.726759000000001,5.726759000000001,0.04884119310388578,0.028198475999658856,10.400000000000006,False,-0.028198475999658856,-0.028198475979276993,-0.028198475979276993,-8.971120802261584e-13,-9.258701279039294e-12,9.258756790190525e-12
8,1-scale-all-axes-uniformly,cell-volume-10.45-cubic-angstroms,4.434597,5.816377000000001,10.954696,15.389293,0,21,0.0,1.0000000010279564e-06,1.0000000010279564e-06,0,13.193630999999998,22.612861000000002,4.434597,4.434597,4.434597,5.715190999999999,7.361270999999999,10.258181,15.973372,0,21,0.0,1.0000000010279564e-06,1.0000000010279564e-06,0,15.012051,24.900614,5.715190999999999,5.715190999999999,5.715190999999999,0.04622410717163165,0.02668750073222309,10.450000000000001,False,-0.02668750073222309,-0.02668750071177589,-0.026687500711775947,-8.999224103828088e-13,-9.288323495240641e-12,9.288379006391872e-12
9,1-scale-all-axes-uniformly,cell-volume-10.50-cubic-angstroms,4.42442,5.803157999999998,10.881455,15.305875,0,21,0.0,1.0000000010279564e-06,1.0000000010279564e-06,0,13.148155999999998,22.545033,4.42442,4.42442,4.42442,5.7036120000000015,7.346565000000002,10.185747,15.889359,0,21,0.0,9.999999992515995e-07,9.999999992515995e-07,0,14.966405000000002,24.82914,5.7036120000000015,5.7036120000000015,5.7036120000000015,0.04361119191191691,0.025178933403700587,10.500000000000004,False,-0.025178933403700587,-0.025178933383188218,-0.025178933383188162,-9.026976407610081e-13,-9.31796612281477e-12,9.31796612281477e-12
10,1-scale-all-axes-uniformly,cell-volume-10.55-cubic-angstroms,4.414305000000001,5.7900100000000005,10.808796,15.223101,0,21,9.999999992515995e-07,9.999999992515995e-07,1.999999998503199e-06,0,13.102743000000002,22.477735,4.414305000000001,4.414305000000001,4.414305000000001,5.692097,7.331939,10.11389,15.805987,0,21,0.0,9.999999992515995e-07,9.999999992515995e-07,0,14.920864,24.758236,5.692097,5.692097,5.692097,0.04100242086508619,0.023672758737602162,10.550000000000002,False,-0.023672758737602162,-0.023672758717024678,-0.023672758717024678,-9.054501446816611e-13,-9.347419490477657e-12,9.347419490477657e-12
11,1-scale-all-axes-uniformly,cell-volume-10.60-cubic-angstroms,4.4042449999999995,5.776922000000001,10.736776,15.141021,0,21,0.0,1.0000000010279564e-06,1.0000000010279564e-06,0,13.057363999999998,22.411001,4.4042449999999995,4.4042449999999995,4.4042449999999995,5.680664999999999,7.317379999999998,10.042668,15.723333,0,21,0.0,1.0000000010279564e-06,1.0000000010279564e-06,0,14.875396,24.687906,5.680664999999999,5.680664999999999,5.680664999999999,0.03839776786385855,0.0221689616262411,10.6,False,-0.0221689616262411,-0.022168961605598725,-0.02216896160559867,-9.083924871402171e-13,-9.376951674375986e-12,9.377007185527217e-12
12,1-scale-all-axes-uniformly,cell-volume-10.65-cubic-angstroms,4.39429,5.763909999999999,10.665278,15.059568,0,21,0.0,1.0000000010279564e-06,1.0000000010279564e-06,0,13.012069,22.344756,4.39429,4.39429,4.39429,5.669347999999999,7.302909,9.971964,15.641312,0,21,0.0,9.999999992515995e-07,9.999999992515995e-07,0,14.830061,24.618133,5.669347999999999,5.669347999999999,5.669347999999999,0.03579720702873479,0.020667527128081564,10.650000000000006,False,-0.020667527128081564,-0.020667527107374406,-0.020667527107374406,-9.115819046912847e-13,-9.406564399913132e-12,9.406564399913132e-12
13,1-scale-all-axes-uniformly,cell-volume-10.70-cubic-angstroms,4.384373,5.750962999999999,10.594386,14.978759,0,21,0.0,9.999999992515995e-07,9.999999992515995e-07,0,12.966798,22.279051000000003,4.384373,4.384373,4.384373,5.658078,7.288501000000002,9.901869,15.559947,0,21,0.0,9.999999992515995e-07,9.999999992515995e-07,0,14.78478,24.54891,5.658078,5.658078,5.658078,0.03320071276349661,0.01916844046514027,10.700000000000003,True,-0.01916844046514027,-0.019168440444368218,-0.019168440444368162,-9.140828017117886e-13,-9.435988205280796e-12,9.435988205280796e-12
14,1-scale-all-axes-uniformly,cell-volume-10.75-cubic-angstroms,4.37453,5.738074000000001,10.524061,14.898591,0,21,0.0,0.0,0.0,0,12.921553,22.21386,4.37453,4.37453,4.37453,5.646872,7.274157000000001,9.83235,15.479222,0,21,0.0,9.999999992515995e-07,9.999999992515995e-07,0,14.739545000000001,24.48023,5.646872,5.646872,5.646872,0.030608259750797524,0.017671687020439975,10.750000000000002,False,-0.017671687020439975,-0.01767168699960342,-0.01767168699960342,-9.17055575181913e-13,-9.465217753283305e-12,9.465273264434537e-12
15,1-scale-all-axes-uniformly,cell-volume-10.80-cubic-angstroms,4.364723999999999,5.725249999999999,10.454325,14.819049,0,21,1.0000000010279564e-06,0.0,1.0000000010279564e-06,0,12.8764,22.149194,4.364723999999999,4.364723999999999,4.364723999999999,5.635714999999999,7.259875999999998,9.763417,15.399132,0,21,0.0,1.0000000010279564e-06,1.0000000010279564e-06,0,14.694413,24.412093,5.635714999999999,5.635714999999999,5.635714999999999,0.02801982294784377,0.016177252335517367,10.8,False,-0.016177252335517367,-0.016177252314616197,-0.016177252314616197,-9.200609333258925e-13,-9.494590908262134e-12,9.494535397110902e-12
