exam,gap_weight,inner_gap_mev,inner_field_mev
cv_fold_0,0.0,58.31470137260225,46.59284762144564
cv_fold_0,0.5,8.107160942416671,47.39497810957152
cv_fold_0,2.0,4.915343272007888,62.15380017075513
cv_fold_1,0.0,55.25791861409774,44.79874813131116
cv_fold_1,0.5,8.356621371211356,46.586944197041845
cv_fold_1,2.0,4.848522862165711,63.11335592397989
cv_fold_2,0.0,51.85242241843636,47.177466555735585
cv_fold_2,0.5,8.829799789534045,47.75504818975086
cv_fold_2,2.0,3.846486285214878,63.52254883921832
cv_fold_3,0.0,57.192455589779335,45.042790130007376
cv_fold_3,0.5,16.153173883880783,52.16698947568102
cv_fold_3,2.0,5.560100488894519,62.77131661692156
cv_fold_4,0.0,58.276250155148844,45.05681482372663
cv_fold_4,0.5,17.91437464037519,50.81717696074169
cv_fold_4,2.0,5.026184908050266,61.89492522473213
small strain -> large strain,0.0,65.10269471926368,44.21828091413604
small strain -> large strain,0.5,21.950847073850195,45.275443725941734
small strain -> large strain,2.0,7.737918839597917,62.300423276641645
axis+skew families -> general stretch,0.0,72.59836814135846,49.821343021397595
axis+skew families -> general stretch,0.5,13.79929371420519,53.81069832031467
axis+skew families -> general stretch,2.0,4.1893547522560795,68.56374641080454
